原文件名,生成的文件名
13-17（磨难） 萧然攻略.json,tough_13-15_煌+澄闪+桃金娘+伊芙利特+艾雅法拉+浊心斯卡蒂+塞雷娅+克洛丝+巡林者.json
13-17（磨难） 萧然攻略（小刻替换澄闪）.json,tough_13-15_煌+桃金娘+伊芙利特+艾雅法拉+浊心斯卡蒂+塞雷娅+克洛丝+巡林者.json
13-18（磨难） - 挺起胸膛.json,tough_13-16_推进之王+夜莺+塞雷娅+伊芙利特+艾雅法拉+刻俄柏+能天使+正义骑士号.json
13-18（磨难） 萧然攻略.json,tough_13-16_桃金娘+德克萨斯+山+银灰+号角+能天使+闪灵+伊芙利特.json
13-18（磨难） 萧然攻略（泥岩替换号角）.json,tough_13-16_桃金娘+德克萨斯+山+银灰+能天使+闪灵+伊芙利特+泥岩.json
13-19（磨难） - 骸骨走廊.json,tough_13-17_桃金娘+棘刺+夜莺+能天使+闪灵+煌+克洛丝+蓝毒.json
13-19（磨难） 萧然攻略.json,tough_13-17_桃金娘+能天使+煌+塞雷娅+克洛丝+艾雅法拉+澄闪+夜莺.json
13-19（磨难） 萧然攻略（小刻替换澄闪，空弦替换阿能）.json,tough_13-17_桃金娘+煌+塞雷娅+克洛丝+艾雅法拉+夜莺.json
13-20（磨难） - 血潮翻涌.json,tough_13-18_桃金娘+银灰+夜莺+棘刺+艾雅法拉+伊芙利特+山+风笛.json
13-20（磨难） 萧然攻略.json,tough_13-18_桃金娘+塞雷娅+号角+闪灵+伊芙利特+克洛丝.json
13-21（磨难） 萧然攻略 (1).json,tough_13-19_桃金娘+山+煌+澄闪+纯烬艾雅法拉+浊心斯卡蒂+塞雷娅+伊芙利特.json
13-21（磨难） 萧然攻略 (2).json,tough_13-19_桃金娘+山+煌+浊心斯卡蒂+塞雷娅+伊芙利特+艾雅法拉.json
13-21（磨难） 萧然攻略 （叔叔替换水月）.json,tough_13-19_桃金娘+山+煌+纯烬艾雅法拉+浊心斯卡蒂+塞雷娅+伊芙利特+玛恩纳.json
13-21（磨难） 萧然攻略.json,tough_13-19_桃金娘+山+煌+澄闪+纯烬艾雅法拉+浊心斯卡蒂+塞雷娅+伊芙利特+水月.json
13-2（磨难） 萧然攻略.json,tough_13-01_煌+泥岩+塞雷娅+艾雅法拉.json
13-3（磨难） - 不得暂歇.json,tough_13-02_煌+艾雅法拉+夜莺+泥岩.json
13-3（磨难） 萧然攻略.json,tough_13-02_煌+塞雷娅+山+纯烬艾雅法拉+德克萨斯.json
13-4（磨难） - 佣兵一日.json,tough_13-03_煌+艾雅法拉+泥岩.json
13-4（磨难） 萧然攻略.json,tough_13-03_煌+塞雷娅+纯烬艾雅法拉+艾雅法拉+泥岩.json
13-5（磨难） 萧然攻略.json,tough_13-04_煌+纯烬艾雅法拉+泥岩+桃金娘.json
13-6（磨难） 萧然攻略.json,tough_13-05_煌+纯烬艾雅法拉+泥岩+德克萨斯+山.json
13-7（磨难） - 唤血祭坛.json,tough_13-06_泥岩+拉普兰德.json
13-7（磨难） 萧然攻略.json,tough_13-06_山+棘刺+能天使.json
13-7（磨难）.json,tough_13-06_泥岩+巡林者+伊桑+调香师.json
13-8（磨难） - 不虞之会.json,tough_13-07_棘刺+塞雷娅+山+闪灵+能天使+桃金娘.json
13-8（磨难） 萧然攻略.json,tough_13-07_山+能天使+煌+克洛丝+艾雅法拉+纯烬艾雅法拉+巡林者.json
